Match,Team,Time,Player,Action_Type,Yellow_Card,Red_Card,Full_Text
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,63',Adam Armstrong,Goal,0,0,"Goal!  Blackburn Rovers 1, Nottingham Forest 0. Adam Armstrong (Blackburn Rovers) right footed shot from a difficult angle on the right to the centre of the goal."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,65',Joe Lolley,Goal,0,0,"Goal!  Blackburn Rovers 1, Nottingham Forest 1. Joe Lolley (Nottingham Forest) left footed shot from outside the box to the bottom right corner. Assisted by Samba Sow."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,67',None,Offside,0,0,"Offside, Nottingham Forest. João Carvalho tries a through ball, but Yuri Ribeiro is caught offside."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,68',None,Corner,0,0,"Corner,  Blackburn Rovers. Conceded by Jack Robinson."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,68',Darragh Lenihan,Shot,0,0,"Attempt missed. Darragh Lenihan (Blackburn Rovers) header from the left side of the box is close, but misses to the left. Assisted by Stewart Downing with a cross following a corner."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,70',João Carvalho,Shot,0,0,Attempt saved. João Carvalho (Nottingham Forest) right footed shot from outside the box is saved in the bottom right corner. Assisted by Yuri Ribeiro.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,71',Joe Rothwell,Shot,0,0,"Attempt missed. Joe Rothwell (Blackburn Rovers) left footed shot from the left side of the box is close, but misses to the left. Assisted by Adam Armstrong."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,72',None,Substitution,0,0,"Substitution, Nottingham Forest. Albert Adomah replaces Yuri Ribeiro."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,73',Adam Armstrong,Foul,0,0,Foul by Adam Armstrong (Blackburn Rovers).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,73',Jack Robinson,FreeKick,0,0,Jack Robinson (Nottingham Forest) wins a free kick on the left wing.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,76',None,Corner,0,0,"Corner,  Blackburn Rovers. Conceded by Brice Samba."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,76',Stewart Downing,Shot,0,0,Attempt blocked. Stewart Downing (Blackburn Rovers) left footed shot from outside the box is blocked.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,76',João Carvalho,Shot,0,0,Attempt blocked. João Carvalho (Nottingham Forest) right footed shot from the left side of the box is blocked. Assisted by Albert Adomah.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,78',Adam Armstrong,FreeKick,0,0,Adam Armstrong (Blackburn Rovers) wins a free kick on the right wing.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,78',Jack Robinson,Foul,0,0,Foul by Jack Robinson (Nottingham Forest).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,79',None,Corner,0,0,"Corner,  Blackburn Rovers. Conceded by Matthew Cash."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,80',None,Substitution,0,0,"Substitution, Nottingham Forest. Tiago Silva replaces Samba Sow."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,82',Joe Rothwell,Shot,0,0,Attempt saved. Joe Rothwell (Blackburn Rovers) right footed shot from outside the box is saved in the bottom right corner. Assisted by Bradley Dack.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,82',None,Corner,0,0,"Corner,  Blackburn Rovers. Conceded by Brice Samba."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,83',None,Substitution,0,0,"Substitution, Blackburn Rovers. Lewis Holtby replaces Bradley Dack."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,83',None,Substitution,0,0,"Substitution, Blackburn Rovers. Dominic Samuel replaces Danny Graham."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,83',Derrick Williams,Shot,0,0,Attempt saved. Derrick Williams (Blackburn Rovers) header from the centre of the box is saved in the top centre of the goal. Assisted by Adam Armstrong with a cross.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,84',None,Corner,0,0,"Corner,  Blackburn Rovers. Conceded by Tiago Silva."
